"Always equal to ACS Summary File identification"	"State Postal Abbreviation"	"Summary Level"	"Geographic Component"	"US"	"Census Region"	"Census Division"	"State (FIPS Code)"	"County of current residence"	"County Subdivision (FIPS)"	"Place (FIPS Code)"	"Census Tract"	"Block Group"	"Consolidated City"	"American Indian Area/Alaska Native Area/ Hawaiian Home Land (Census)"	"American Indian Area/Alaska Native Area/ Hawaiian Home Land (FIPS)"	"American Indian Trust Land/Hawaiian Home Land Indicator"	"American Indian Tribal Subdivision (FIPS)"	"Alaska Native Regional Corporation (FIPS)"	"Metropolitan and Micropolitan Statistical Area"	"Combined Statistical Area"	"Metropolitan Statistical Area-Metropolitan Division"	"Metropolitan Area Central City"	"Metropolitan/Micropolitan Indicator Flag"	"New England City and Town Area"	"New England City and Town Combined Statistical Area"	"New England City and Town Area Division"	"Urban Area"	"Current Congressional District ***"	"State Legislative District Upper"	"State Legislative District Lower"	"5-digit ZIP Code Tabulation Area"	"Subminor Civil Division (FIPS)"	"State-School District (Elementary)"	"State-School District (Secondary)"	"State-School District (Unified)"	"Urban/Rural"	"Principal City Indicator"	"Public Use Microdata Area – 5% File"	"Geographic Identifier"	"Area Name"	"Tribal Tract"	"Tribal Block Group"	"Qualifying Name"	"FIPS"	"Area (Land)"	"Area (Water)"	"Place (State FIPS + Place FIPS)"	"ZIP Code Tabulation Area (3-digit)"	"Total Population"	"Population Density (Per Sq. Mile)"	"Area (Land)"
Geo_FILEID	Geo_STUSAB	Geo_SUMLEV	Geo_GEOCOMP	Geo_US	Geo_REGION	Geo_DIVISION	Geo_STATE	Geo_COUNTY	Geo_COUSUB	Geo_PLACE	Geo_TRACT	Geo_BLKGRP	Geo_CONCIT	Geo_AIANHH	Geo_AIANHHFP	Geo_AIHHTLI	Geo_AITS	Geo_ANRC	Geo_CBSA	Geo_CSA	Geo_METDIV	Geo_MACC	Geo_MEMI	Geo_NECTA	Geo_CNECTA	Geo_NECTADIV	Geo_UA	Geo_CDCURR	Geo_SLDU	Geo_SLDL	Geo_ZCTA5	Geo_SUBMCD	Geo_SDELM	Geo_SDSEC	Geo_SDUNI	Geo_UR	Geo_PCI	Geo_PUMA5	Geo_GEOID	Geo_NAME	Geo_BTTR	Geo_BTBG	Geo_QName	Geo_FIPS	Geo_AREALAND	Geo_AREAWATR	Geo_PLACESE	Geo_ZCTA3	SE_A00002_001	SE_A00002_002	SE_A00002_003
"ACSSF"	"ca"	"140"	"00"	""	""	""	"06"	"037"	""	""	"104701"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Census Tract 1047.01"	""	""	"Census Tract 1047.01, Los Angeles County, California"	"06037104701"	"550504"	"0"	""	""	3891	18306.21	0.21255079174112
"ACSSF"	"ca"	"140"	"00"	""	""	""	"06"	"037"	""	""	"104703"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Census Tract 1047.03"	""	""	"Census Tract 1047.03, Los Angeles County, California"	"06037104703"	"1168239"	"0"	""	""	2298	5094.67	0.451059618809045
"ACSSF"	"ca"	"140"	"00"	""	""	""	"06"	"037"	""	""	"104704"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Census Tract 1047.04"	""	""	"Census Tract 1047.04, Los Angeles County, California"	"06037104704"	"1663127"	"0"	""	""	4567	7112.19	0.642136951985878
"ACSSF"	"ca"	"140"	"00"	""	""	""	"06"	"037"	""	""	"104821"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Census Tract 1048.21"	""	""	"Census Tract 1048.21, Los Angeles County, California"	"06037104821"	"531802"	"0"	""	""	3431	16709.69	0.205329908864443
"ACSSF"	"ca"	"140"	"00"	""	""	""	"06"	"037"	""	""	"104822"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Census Tract 1048.22"	""	""	"Census Tract 1048.22, Los Angeles County, California"	"06037104822"	"604352"	"0"	""	""	2461	10546.77	0.233341621660023
"ACSSF"	"ca"	"140"	"00"	""	""	""	"06"	"037"	""	""	"104823"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Census Tract 1048.23"	""	""	"Census Tract 1048.23, Los Angeles County, California"	"06037104823"	"531333"	"0"	""	""	3362	16388.1	0.205148826944372
"ACSSF"	"ca"	"140"	"00"	""	""	""	"06"	"037"	""	""	"104824"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Census Tract 1048.24"	""	""	"Census Tract 1048.24, Los Angeles County, California"	"06037104824"	"592028"	"0"	""	""	2657	11623.77	0.228583298455437
"ACSSF"	"ca"	"140"	"00"	""	""	""	"06"	"037"	""	""	"106010"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Census Tract 1060.10"	""	""	"Census Tract 1060.10, Los Angeles County, California"	"06037106010"	"2517807"	"0"	""	""	3578	3680.575	0.972130758906991
"ACSSF"	"ca"	"140"	"00"	""	""	""	"06"	"037"	""	""	"106020"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Census Tract 1060.20"	""	""	"Census Tract 1060.20, Los Angeles County, California"	"06037106020"	"2010764"	"7144"	""	""	4576	5894.17	0.776360353793145
"ACSSF"	"ca"	"140"	"00"	""	""	""	"06"	"037"	""	""	"106111"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Census Tract 1061.11"	""	""	"Census Tract 1061.11, Los Angeles County, California"	"06037106111"	"2774241"	"12394"	""	""	4859	4536.287	1.07114048404857
