Geo_FIPS,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_PUMA5,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A00002_001,SE_A00002_002,SE_A00002_003
"06037311000","Census Tract 3110, Los Angeles County, California","ca","140","00",,,,"06","037",,,"311000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 3110",,,,3940,7720.089,0.510356804741952
"06037311100","Census Tract 3111, Los Angeles County, California","ca","140","00",,,,"06","037",,,"311100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 3111",,,,4147,6300.125,0.658240887602568
"06037311200","Census Tract 3112, Los Angeles County, California","ca","140","00",,,,"06","037",,,"311200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 3112",,,,3085,8079.112,0.381848873431074
"06037311300","Census Tract 3113, Los Angeles County, California","ca","140","00",,,,"06","037",,,"311300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 3113",,,,4090,8669.575,0.4717647340451
"06037311400","Census Tract 3114, Los Angeles County, California","ca","140","00",,,,"06","037",,,"311400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 3114",,,,2369,6533.381,0.362599363394734
"06037311500","Census Tract 3115, Los Angeles County, California","ca","140","00",,,,"06","037",,,"311500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 3115",,,,6362,11024.4,0.577083368726033
"06037311601","Census Tract 3116.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"311601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 3116.01",,,,2578,3916.021,0.658321196854966
"06037311602","Census Tract 3116.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"311602",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 3116.02",,,,4270,10014.85,0.426366840309685
"06037311700","Census Tract 3117, Los Angeles County, California","ca","140","00",,,,"06","037",,,"311700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 3117",,,,6165,6786.295,0.908448610572713
"06037311801","Census Tract 3118.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"311801",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 3118.01",,,,2951,12748.81,0.231472501030893
"06037311802","Census Tract 3118.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"311802",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 3118.02",,,,4512,14399.3,0.313348556055086
"06037320101","Census Tract 3201.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"320101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 3201.01",,,,3446,13115.42,0.26274407448992
"06037320102","Census Tract 3201.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"320102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 3201.02",,,,3782,7990.341,0.473321498014663
"06037320201","Census Tract 3202.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"320201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 3202.01",,,,4143,11673.14,0.354917474521117
"06037320202","Census Tract 3202.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"320202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 3202.02",,,,6272,10057.76,0.623598256053696
"06037320300","Census Tract 3203, Los Angeles County, California","ca","140","00",,,,"06","037",,,"320300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 3203",,,,6315,9538.324,0.662066001850202
"06037400205","Census Tract 4002.05, Los Angeles County, California","ca","140","00",,,,"06","037",,,"400205",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 4002.05",,,,2584,284.2297,9.09123903276772
"06037400206","Census Tract 4002.06, Los Angeles County, California","ca","140","00",,,,"06","037",,,"400206",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 4002.06",,,,5773,4461.615,1.29392607224435
"06037400207","Census Tract 4002.07, Los Angeles County, California","ca","140","00",,,,"06","037",,,"400207",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 4002.07",,,,4675,2409.655,1.94011169163718
"06037400208","Census Tract 4002.08, Los Angeles County, California","ca","140","00",,,,"06","037",,,"400208",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 4002.08",,,,1361,4286.38,0.317517301238461
"06037400209","Census Tract 4002.09, Los Angeles County, California","ca","140","00",,,,"06","037",,,"400209",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 4002.09",,,,4409,1725.604,2.55504658708843
"06037400304","Census Tract 4003.04, Los Angeles County, California","ca","140","00",,,,"06","037",,,"400304",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 4003.04",,,,8123,6706.53,1.21120754227433
"06037400402","Census Tract 4004.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"400402",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 4004.02",,,,4133,2441.776,1.6926201974681
"06037400403","Census Tract 4004.03, Los Angeles County, California","ca","140","00",,,,"06","037",,,"400403",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 4004.03",,,,4344,857.3331,5.06687521332145
"06037400404","Census Tract 4004.04, Los Angeles County, California","ca","140","00",,,,"06","037",,,"400404",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 4004.04",,,,4183,684.2993,6.11282253045188
"06037400501","Census Tract 4005.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"400501",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 4005.01",,,,1768,389.9923,4.53342293477808
"06037400602","Census Tract 4006.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"400602",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 4006.02",,,,4837,8127.876,0.595112409787227
"06037400603","Census Tract 4006.03, Los Angeles County, California","ca","140","00",,,,"06","037",,,"400603",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 4006.03",,,,4999,1410.631,3.5438032917527
"06037400605","Census Tract 4006.05, Los Angeles County, California","ca","140","00",,,,"06","037",,,"400605",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 4006.05",,,,7444,3881.293,1.91791738031219
"06037400801","Census Tract 4008.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"400801",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 4008.01",,,,6912,4992.431,1.38449598994281
"06037401001","Census Tract 4010.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"401001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 4010.01",,,,2698,4874.753,0.553463954273147
"06037401002","Census Tract 4010.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"401002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 4010.02",,,,4464,7846.787,0.568895299901003
"06037401101","Census Tract 4011.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"401101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 4011.01",,,,5564,4784.997,1.16280114039138
"06037401102","Census Tract 4011.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"401102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 4011.02",,,,4270,8625.57,0.495039745357894
"06037401201","Census Tract 4012.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"401201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 4012.01",,,,3550,3925.518,0.904339325124286
"06037401202","Census Tract 4012.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"401202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 4012.02",,,,4161,3425.476,1.21472184427109
"06037401203","Census Tract 4012.03, Los Angeles County, California","ca","140","00",,,,"06","037",,,"401203",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 4012.03",,,,5076,6908.112,0.734788346509714
"06037401303","Census Tract 4013.03, Los Angeles County, California","ca","140","00",,,,"06","037",,,"401303",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 4013.03",,,,2272,1014.658,2.23917832823936
"06037401304","Census Tract 4013.04, Los Angeles County, California","ca","140","00",,,,"06","037",,,"401304",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 4013.04",,,,5313,1548.263,3.43158655561338
"06037401311","Census Tract 4013.11, Los Angeles County, California","ca","140","00",,,,"06","037",,,"401311",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 4013.11",,,,6781,4104.891,1.65193197806322
"06037401312","Census Tract 4013.12, Los Angeles County, California","ca","140","00",,,,"06","037",,,"401312",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 4013.12",,,,5067,4673.85,1.08411699204784
"06037401500","Census Tract 4015, Los Angeles County, California","ca","140","00",,,,"06","037",,,"401500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 4015",,,,5975,3243.979,1.8418737847434
"06037401601","Census Tract 4016.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"401601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 4016.01",,,,5267,5255.916,1.0021088900798
"06037401602","Census Tract 4016.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"401602",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 4016.02",,,,5762,7363.167,0.782543780125622
"06037401705","Census Tract 4017.05, Los Angeles County, California","ca","140","00",,,,"06","037",,,"401705",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 4017.05",,,,3049,4862.116,0.627093252941712
"06037401706","Census Tract 4017.06, Los Angeles County, California","ca","140","00",,,,"06","037",,,"401706",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 4017.06",,,,4401,9195.995,0.478577893024987
"06037401707","Census Tract 4017.07, Los Angeles County, California","ca","140","00",,,,"06","037",,,"401707",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 4017.07",,,,8406,10338.6,0.813069790284743
"06037401801","Census Tract 4018.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"401801",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 4018.01",,,,4467,3258.828,1.37073801114136
"06037401802","Census Tract 4018.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"401802",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 4018.02",,,,3590,3791.479,0.94685998545167
"06037401901","Census Tract 4019.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"401901",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 4019.01",,,,3823,5766.869,0.662924693087381
"06037401902","Census Tract 4019.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"401902",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 4019.02",,,,6290,6132.369,1.02570475230001
"06037402001","Census Tract 4020.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"402001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 4020.01",,,,4043,7178.613,0.563200678922064
"06037402002","Census Tract 4020.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"402002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 4020.02",,,,4180,6542.548,0.63889485202248
"06037402101","Census Tract 4021.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"402101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 4021.01",,,,4986,10855.7,0.459297880916823
"06037402102","Census Tract 4021.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"402102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 4021.02",,,,5344,6054.977,0.882579764848331
"06037402200","Census Tract 4022, Los Angeles County, California","ca","140","00",,,,"06","037",,,"402200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 4022",,,,7081,2884.107,2.45517971511837
